Feature,Category,Color,Clarity,Perceived Malt Aroma & Flavor,Perceived Hop Aroma & Flavor,Perceived Bitterness,Fermentation Characteristics,Body,Additional notes,Original Gravity (°Plato),Apparent Extract/Final Gravity (°Plato),Alcohol by Weight (Volume),Bitterness (IBU),Color SRM (EBC)
32,Juicy or Hazy Strong Pale Ale,Straw to light amber,"Can vary widely from very low haze to very high degree of cloudiness. Starch, yeast, hop, protein or other compounds contribute to a wide range of hazy appearance within this category.",Low to medium-low malt aroma and flavor may be present,"Medium-high to very high hop aroma and flavor are present, exhibiting a very wide range of attributes, especially fruity, tropical, juicy, and many others.",Low to medium. The impression of bitterness is soft and well-integrated into overall balance and may differ significantly from measured or calculated IBU levels.,Medium-low to medium-high fruity esters may be present and can contribute to the perception of sweetness and be complementary to the hop profile. Diacetyl should not be present.,Medium-low to medium-high. A silky or full mouthfeel may contribute to overall flavor profile.,"Traditional examples often display persistent head retention. Small amounts of wheat can be used in brewing beers of this style. Koelsch-style beers are fermented at warmer temperatures than is typical for lagers, but at lower temperatures than most English and Belgian-style ales. They are aged cold. Ale yeast is used for fermentation. Lager yeast is sometimes used for bottle conditioning or ﬁnal cold conditioning.",1.05-1.058 (12.4-14.2 °Plato),1.006-1.01 (1.6-2.7 °Plato),4.40%-5.05% (5.60%-6.40%),15-40; may differ significantly from perceived bitterness,3-8(6-16 EBC)
33,American-Style India Pale Ale,Pale to copper,Chill haze is acceptable at low temperatures. Hop haze is allowable at any temperature.,Medium-low to medium intensity malt attributes are present in aroma and ﬂavor,"High to very high, exhibiting a wide range of attributes including ﬂoral, piney, citrus, fruity (berry, tropical, stone fruit and other), sulfur, diesel-like, onion-garlic, catty, resinous, and many others.",Medium-high to very high,Fruity esters are low to high. Diacetyl and DMS should not be present.,Medium-low to medium,"The Altbier style is originally from the Dusseldorf area. The overall impression is clean, crisp and ﬂavorful with a dry ﬁnish.",1.06-1.07 (14.7-17.1 °Plato),1.01-1.016 (2.5-4.1 °Plato),5.00%-6.00% (6.30%-7.50%),50-70,4-12(8-24 EBC)
34,Juicy or Hazy India Pale Ale,Straw to light amber,"Can vary widely from very low haze to very high degree of cloudiness. Starch, yeast, hop, protein or other compounds contribute to a wide range of hazy appearance within this category.",Low to medium-low malt aroma and flavor may be present,"High to very high hop aroma and flavor are present, exhibiting a very wide range of attributes, especially fruity, tropical, juicy, and many others.",Low to medium. The impression of bitterness is soft and well-integrated into overall balance and may differ significantly from measured or calculated IBU levels.,"Medium to medium-high fruity esters are present, and can contribute to the perception of sweetness and be complementary to the hop profile. Diacetyl should not be present.",Medium-low to medium-high. A silky or full mouthfeel may contribute to overall flavor profile.,"Carbonation is high. Traditionally, some Berliners were brewed or served with fruit, spices, or syrups. Some more contemporary versions have been brewed with other ingredients such as darker malts. Any such versions will take on corresponding hues, and may exhibit flavor and aroma attributes typical of such ingredients. When using these guidelines as the basis for evaluating entries at competitions, brewers may be asked to provide supplemental information about entries in this category to allow for accurate evaluation of diverse entries. Competition organizers may create subcategories which reflect groups of entries based on the addition of fruit, spice or specialty malt, or other ingredients or processes. Fruited or ﬂavored entries would be accompanied by a very brief description of the fruit/ﬂavor used by the brewer.",1.06-1.07 (14.7-17.1 °Plato),1.008-1.02 (2-5 °Plato),5.00%-6.00% (6.30%-7.50%),20-50; may differ significantly from perceived bitterness,3-7(6-14 EBC)
35,American-Belgo-Style Ale,Gold to black,Should conform the base beer style,Typically low. Perception of specialty or roasted malts or barley can be very low to robust in darker versions.,"Medium to very high, exhibiting American-type hop aromas not usually found in traditional Belgian styles.","Medium to high, in alignment with base beer style.","Fruity esters are medium to high. Belgian yeast attributes such as banana, berry, apple, coriander, spice or smoky-phenolic should be in balance with malt and hops. Diacetyl, sulfur, and attributes typical of Brettanomyces should not be present.","Medium-low to medium, in alignment with base beer style.","These beers typically contain malted barley and unmalted wheat, with some versions also containing oats. Salt (table salt) and coriander may be present in low amounts or may be absent. A Gose brewed with fruit(s), spices (other than salt or coriander), darker malts or other ingredients is categorized as Contemporary-Style Gose. Carbonation is high to very high. Effervescent. When using these guidelines as the basis for evaluating entries at competitions, brewers may be asked to provide supplemental information about entries in this category to allow for accurate evaluation of diverse entries. Such information might include whether coriander, salt, or Brettanomyces is used, and other information about the brewing process.",Varies with style,Varies with style,Varies with style,Varies with style,Varies with style(Varies with style EBC)
36,American-Style Brown Ale,Deep copper to very dark brown,Chill haze is acceptable at low temperatures,"Medium levels of roasted malt, caramel, and chocolate aromas and flavors should be present.",Medium-low to medium-high,Medium to high,Low to medium-low fruity esters may be present. Diacetyl should not be present.,Medium,"Contemporary-Style Gose may be brewed with malted or unmalted barley, wheat, and oats. Contemporary examples may also contain other grains. As in traditional examples, low level salt (table salt) and coriander additions may or may not be present in Contemporary Gose. Attributes from the use of a wide variety of herbs, spices, ﬂowers, fruits, or other ingredients not found in traditional Leipzig-Style Gose may also be present and in harmony with overall flavor profile. When using these guidelines as the basis for evaluating entries at competitions, brewers may be asked to provide supplemental information about entries in this category to allow for accurate evaluation of diverse entries. Such information might include any herbs, spices, fruit, or other added ingredients, and information about the brewing process.",1.04-1.06 (10-14.7 °Plato),1.01-1.018 (2.6-4.6 °Plato),3.30%-5.00% (4.20%-6.30%),30-45,15-26(30-52 EBC)
37,American-Style Black Ale,Very dark to black,Opaque,Low to medium-low caramel malt and dark roasted malt aromas and ﬂavors are present. Astringency and burnt character of roast malt should be absent.,"Medium-high to high, with fruity, citrusy, piney, ﬂoral, herbal or other aromas derived from hops of all origins.",Medium-high to high,Fruity esters are low to medium. Diacetyl should not be present.,Medium,"Beers in this style are made with at least 50 percent malted wheat, and are very highly carbonated. These beers are typically (though not always) roused during pouring, and when yeast is present, they will have a yeasty ﬂavor and a characteristically fuller mouthfeel.",1.056-1.075 (13.8-18.2 °Plato),1.012-1.018 (3.1-4.6 °Plato),5.00%-6.00% (6.30%-7.60%),40-70,35+(70+ EBC)
38,American-Style Stout,Black,Opaque,"Coffee-like roasted barley and roasted malt aromas are prominent. Low to medium malt sweetness with any of caramel, chocolate, or roasted coffee attributes present at low to medium levels, with a distinct dry-roasted bitterness in the ﬁnish. Astringency from roasted malt and roasted barley is low. Slight roasted malt acidity is acceptable.","Medium to high, often with any of citrusy, resiny or other attributes typical of many American hop varieties.",Medium to high,Fruity esters are low. Diacetyl is usually absent in these beers but may be present at very low levels.,Medium to full,"Beers in this style are made with at least 50 percent malted wheat. They have no yeast ﬂavor, and exhibit a cleaner, drier mouthfeel than counterparts served with yeast.",1.05-1.075 (12.4-18.2 °Plato),1.01-1.022 (2.6-5.6 °Plato),4.50%-6.40% (5.70%-8.00%),35-60,40+(80+ EBC)
39,American-Style Imperial Porter,Black,Opaque,"No roast barley or strong burnt/black malt character should be present. Medium malt, caramel, and cocoa sweetness should be present.",Low to medium-high,Medium-low to medium,Fruity esters are present but not overpowering and should complement hop character and malt-derived sweetness. No diacetyl should not be present.,Full,"Beers in this style are made with at least 50 percent wheat malt. They are often roused during pouring, and, when yeast is present, will have a yeasty ﬂavor and a fuller mouthfeel.",1.08-1.1 (19.3-23.7 °Plato),1.02-1.03 (5.1-7.6 °Plato),5.50%-9.50% (7.00%-12.00%),35-50,40+(80+ EBC)
40,American-Style Imperial Stout,Black,Opaque,Extremely rich malty aroma is typical. Extremely rich malty ﬂavor with full sweet malt character is typical. Roasted malt astringency and bitterness can be moderate but should not dominate the overall character.,"Medium-high to high, exhibiting any of ﬂoral, citrus, herbal, or any other attributes typical of American hops.",Medium-high to very high and balanced with rich malt character.,Fruity esters are high. Diacetyl should not be present.,Full,"Beers in this style are made with at least 50 percent wheat malt. It is often roused during pouring, and, when yeast is present, will have a yeasty ﬂavor and a fuller mouthfeel.",1.08-1.1 (19.3-23.7 °Plato),1.02-1.03 (5.1-7.6 °Plato),5.50%-9.50% (7.00%-12.00%),50-80,40+(80+ EBC)
41,Double Hoppy Red Ale,Deep amber to dark copper/reddish-brown,Chill haze is acceptable at low temperatures,Medium to medium-high caramel malt character should be present in ﬂavor and aroma. Low to medium biscuit or toasted malt character may also be present.,"Hop aroma is high, derived from any variety of hops. Hop ﬂavor is high and balanced with other beer attributes.",High to very high,Alcohol content is medium to high. Complex alcohol ﬂavors may be present. Fruity esters are medium. Diacetyl should not be present.,Medium to full,"Beers in this style are made with at least 50 percent wheat malt. They are often roused during pouring, and, when yeast is present, will have a yeasty ﬂavor and a characteristically fuller mouthfeel.",1.058-1.08 (14.3-19.3 °Plato),1.015-1.024 (3.9-6.1 °Plato),4.90%-6.30% (6.10%-7.90%),45-80,10-17(20-34 EBC)
42,Imperial Red Ale,Deep amber to dark copper/reddish-brown,Chill haze is acceptable at low temperatures,Medium to high caramel malt character is present in aroma and ﬂavor,"High, derived from any variety of hops. Hop ﬂavor is prominent and balanced with other beer attributes.",Very high,Very high alcohol is a hallmark of this style. Complex alcohol ﬂavors may be present. Fruity esters are medium. Diacetyl should not be present.,Full,"Beers in this style are made with at least 50 percent wheat malt. They are often roused during pouring, and, when yeast is present, will have a yeasty ﬂavor and a fuller mouthfeel.",1.08-1.1 (19.3-23.7 °Plato),1.02-1.028 (5.1-7.1 °Plato),6.30%-8.40% (8.00%-10.60%),55-85,10-17(20-34 EBC)
43,American-Style Imperial or Double India Pale Ale,Straw to medium amber,Chill haze is acceptable at low temperatures. Haze created by dry hopping is allowable at any temperature.,Low to medium pale malt character is typical. Low pale caramel malt character may be present.,"High to intense, exhibiting a wide range of attributes including ﬂoral, piney, citrus, fruity (berry, tropical, stone fruit, and other), sulfur, diesel-like, onion-garlic, catty, resinous, and many others. Hop character should be fresh and evident, and should not be harsh.",Very high but not harsh,Alcohol content is medium-high to high and evident. Fruity esters are medium to high. Diacetyl should not be present.,Medium to full,"Grist should include at least 30 percent rye malt. Versions with yeast are often roused during pouring. When yeast is present, the beer should have a yeasty flavor and a fuller mouthfeel.",1.067-1.087 (16.5-21 °Plato),1.009-1.016 (2.3-4 °Plato),6.00%-8.40% (7.60%-10.60%),65-100,2-7(4-14 EBC)
44,Juicy or Hazy Imperial or Double India Pale Ale,Straw to light amber,"Can vary widely from very low haze to very high degree of cloudiness. Starch, yeast, hop, protein or other compounds contribute to a wide range of hazy appearance within this category.",Low to medium malt aroma and flavor may be present,"High to intense, exhibiting a very wide range of attributes, especially fruity, tropical, juicy, and many others.","Low to medium. The impression of bitterness is soft and well-integrated into overall balance, and may differ significantly from measured or calculated IBU levels.","Medium-high to high fruity esters are present, and can contribute to the perception of sweetness and be complementary to the hop profile. Diacetyl should not be present.",Medium to high. A silky or full mouthfeel may contribute to overall flavor profile.,"Beers in this style are made with at least 50 percent wheat malt. They are often roused during pouring, and, when yeast is present, will have a yeasty ﬂavor and a fuller mouthfeel.",1.067-1.087 (16.5-21 °Plato),1.009-1.016 (2.3-4 °Plato),6.00%-8.40% (7.60%-10.60%),30-80; may differ significantly from perceived bitterness,2-7(4-14 EBC)
45,American-Style Barley Wine Ale,Amber to deep red/copper-garnet,Chill haze is acceptable at low temperatures,"Caramel or toffee malt aroma attributes are often present. High residual malty sweetness, often exhibiting caramel or toffee attributes, should be present.","Medium to very high, exhibiting a wide range of attributes.",High,Complex alcohols are evident. Fruity esters are often high. Diacetyl is usually absent in these beers but may be present at very low levels.,Full,"Kellerbier or Zwickelbiers are unfiltered versions of lager or ale styles of European origin. These can include traditional Helles, Dunkel, Dortmunder, Vienna, Rotbier, Bohemian, European Dark, Koelsch, Alt, as well as less common traditional or contemporary European-origin lager and ale styles. Carbonation may be below levels typical of the underlying beer style, which may result in decreased head retention. These beers are typically unfiltered, but they may be filtered and then redosed with yeast. Whether filtered or unfiltered these beers are packaged and served with very low to moderate amounts of yeast. When using these guidelines as the basis for evaluating entries at competitions, brewers may be asked to provide supplemental information about entries in this category to allow for accurate evaluation of diverse entries. Such information should include the underlying European-origin lager or ale style upon which the entry is based. Competition organizers may create subcategories which reflect groups of entries based on ale or lager yeast type or hue.",1.09-1.12 (21.6-28 °Plato),1.024-1.028 (6.1-7.1 °Plato),6.70%-9.60% (8.50%-12.20%),60-100,11-18(22-36 EBC)
46,American-Style Wheat Wine Ale,Gold to black,Chill haze is acceptable at low temperatures,"Any of bready, wheat, honey or caramel malt aroma and flavor attributes are often present. High residual malt sweetness should be present.",Low to medium,Medium to medium-high,"Fruity esters are often high and balanced by a complexity of alcohols and high alcohol content. Diacetyl is usually absent in these beers but may be present at very low levels. Phenolic yeast character, sulfur, and DMS should not be present. Oxidized, stale, and aged attributes are not typical of this style.",Full,"These beers may contain malted barley, wheat, and rye as well as unmalted wheat, rye, oats, and corn. Though not common, flavorings such as coriander or orange and lemon peel are sometimes added, but are barely perceptible. The mouthfeel is light to moderate, and sometimes boosted with unfermented sugars/malt sugars. Low carbonation and aftertaste are typical.",1.088-1.12 (21.1-28 °Plato),1.024-1.032 (6.1-8 °Plato),6.70%-9.60% (8.50%-12.20%),45-85,5+(10+ EBC)
47,Smoke Porter,Dark brown to black,Opaque,"Smoked porters will exhibit mild to assertive smoke malt aroma and flavor in balance with other aroma attributes. Black malt character can be present in some porters, while others may be absent of strong roast character. Roast barley character is absent to low depending on underlying porter style being smoked. Medium to high malt sweetness with caramel or chocolate flavor attributes is acceptable.",None to medium,Medium to medium-high,Low to medium fruity esters are acceptable,Medium to full,"Beers in this category recognize the uniqueness and traditions of Belgian brewing, but do not hew to any other Belgian-style categories defined in these guidelines. The most notable characteristic that these beers share is a modest alcohol content ranging from 2.1% – 5% abv. These beers can be lower gravity formulations of their own, or can be produced from second run wort from the production of higher gravity beers. Balance is a key component when assessing these beers. Wood-aged or fruited versions will exhibit attributes of wood-aging or fruit(s) in harmony with overall flavor profile. When using these guidelines as the basis for evaluating entries at competitions, brewers may be asked to provide supplemental information about entries in this category to allow for accurate evaluation of diverse entries. Such information might include an underlying Belgian beer style not otherwise defined in these guidelines or other information unique to the entry such as ingredients (fruit(s), etc.) or processing (wood-aging, etc.) which influence perceived sensory outcomes.",Varies with porter style,Varies with porter style,Varies with porter style,Varies with porter style,Varies with porter style(Varies with porter style EBC)
48,American-Style Sour Ale,Pale to black,"Chill haze, bacteria, and yeast-induced haze is acceptable at any temperature.","Low. In darker versions, any of roasted malt, caramel, or chocolate aroma and flavor attributes should be present at low levels.",None to high,None to high,"Moderate to intense, yet balanced, fruity esters are present. Diacetyl, DMS, and Brettanomyces should not be present. The evolution of natural acidity at medium-low to high levels develops a balanced complexity and is expressed as a refreshing, pleasant sourness, in harmony with other attributes. The acidity present is usually in the form of lactic, acetic, and other organic acids naturally developed with acidiﬁed malt in the mash or in kettle or post wort fermentation and is produced by various microorganisms including certain bacteria and yeasts. Acidic character can be a complex balance of several types of acid and attributes of age. Wood vessels may be used during the fermentation and aging process, but wood-derived ﬂavors such as vanillin should not be present. There should be no residual ﬂavors from liquids previously aged in a barrel such as bourbon or sherry.",Low to high,These beers are often brewed with light-colored Belgian candy sugar. Herbs and spices are sometimes used to delicately ﬂavor these strong ales. These beers can be malty in overall impression or dry and highly attenuated. They can have a deceptively high alcohol character and a relatively light body for beers of high alcoholic strength. Some versions may be equally high in alcohol with a more medium in body.,May vary widely,May vary widely,May vary widely,May vary widely,May vary widely(May vary widely EBC)
49,American-Style Fruited Sour Ale,Can range from pale to black depending on underlying beer style and is often influenced by the color of added fruit,"Chill haze, bacteria, and yeast-induced haze is acceptable at any temperature.","Low. In darker versions, any of roasted malt, caramel, or chocolate aroma and flavor attributes should be present at low levels.",None to high,None to high and in balance with fruit character,"Moderate to intense, yet balanced, fruity esters are present. Diacetyl, DMS, and Brettanomyces should not be present. The evolution of natural acidity at medium-low to high levels develops a balanced complexity and is expressed as a refreshing, pleasant sourness, in harmony with other attributes. The acidity present is usually in the form of lactic, acetic, and other organic acids naturally developed with acidiﬁed malt in the mash or in kettle or post wort fermentation and is produced by various microorganisms, including certain bacteria and yeasts. Acidic character can be a complex balance of several types of acid and attributes of age. Wood vessels may be used during the fermentation and aging process, but wood-derived ﬂavors such as vanillin should not be present. Attributes arising from liquids previously aged in a barrel, such as bourbon or sherry, should not be present.",Low to high,These beers are often (though not always) brewed with dark Belgian candy sugar. Herbs and spices are sometimes used to delicately ﬂavor these strong ales. These beers are typically well attenuated with a deceptive alcoholic strength.,May vary widely,May vary widely,May vary widely,May vary widely,May vary widely(May vary widely EBC)
50,West Coast-Style India Pale Ale,Straw to gold,Chill haze or hop haze is acceptable at low levels,Low to medium-low. Caramel or roasted malt character should not be present,"High to very high, exhibiting a wide range of attributes including floral, piney, citrus, fruity (berry, tropical, stone fruit and other), sulfur, diesel-like, onion-garlic, catty, resinous and many others.","Medium-high to very high, but not harsh","Fruity esters range from low to medium. DMS, acetaldehyde, and diacetyl should not be present. These beers are characterized by a high degree of attenuation.",Low to medium,"Head should be dense and mousse-like. Herbs or spices such as coriander or others may be used in subtle amounts to enhance overall aroma or flavor, or may be absent.",1.055-1.07 (13.5-17.1 °Plato),1.005-1.016 (1.5-4.1 °Plato),5-6 (6.3-7.5),50-75,2-6(4-12 EBC)
51,German-Style Koelsch,Straw to gold,Chill haze should not be present,Malt character is very low to low with soft sweetness. Caramel character should not be present.,"Low and, if present, should express noble hop character.",Medium to medium-high,"Fruity esters are absent to low, expressed as pear, apple, or wine-like attributes when present. Diacetyl should not be present.",Low to medium-low. Dry and crisp.,"Head should be dense and mousse-like. Herbs or spices such as coriander or others may be used in subtle amounts to enhance overall aroma or flavor, or may be absent. Brewing sugar may be used to lighten the body. Hop/malt character should be balanced. The overall beer ﬂavor may ﬁnish sweet, though any sweet ﬁnish should be light.",1.042-1.048 (10.5-11.9 °Plato),1.006-1.01 (1.5-2.6 °Plato),3.80%-4.20% (4.80%-5.30%),22-30,3-6(6-12 EBC)
52,German-Style Altbier,Copper to dark brown,Clear to slightly hazy. Chill haze should not be present,A variety of malts contributes to medium-low to medium malt aroma and flavor. Toast aroma typical of Munich malts should be present. Slight nuttiness is acceptable. Roast malt character should be present at low levels and well-integrated with the overall malt profile. Smoke character should not be present.,"Low to medium with hop flavor more perceptible than aroma, with attributes typical of traditional German noble hops.","Medium to high, producing a clean dry finish. Forty-plus IBU is typical for Altbiers originating in Dusseldorf.","Fruity esters are absent to low, with attributes expressed subtly as citrus, pear, dark cherry or plum. A slight sulfur aroma is acceptable. Diacetyl should not be present.",Medium-low to medium.,"Head should be dense and mousse-like. Quadrupels are well attenuated and are characterized by an intense alcohol presence balanced by other ﬂavors, aromas and bitterness. They are well balanced with savoring/sipping-type drinkability. Oxidized character, if present in aged Quads, should be mild and pleasant.",1.044-1.052 (11-12.9 °Plato),1.008-1.014 (2.1-3.6 °Plato),3.60%-4.40% (4.60%-5.60%),25-52,11-19(22-38 EBC)
53,Berliner-Style Weisse,Straw to pale. These are the lightest of all the German wheat beers.,May appear hazy or cloudy from yeast or chill haze,Malt sweetness is absent,Not present,Not present to very low,"Fruity esters are low to medium. Diacetyl should not be present. Brettanomyces character may be absent or present at low to medium levels and, if present, may be expressed as any of horsey, goaty, leathery, phenolic, fruity, or acidic aroma and flavor attributes. The unique combination of yeast and lactic acid bacteria fermentation yields a beer that is acidic and highly attenuated.",Very low,"Witbiers are brewed with malted barley, unmalted wheat and sometimes oats. Typically they are brewed with coriander and orange peel; modern versions sometimes feature other spices or citrus peel types. Very low to low level spice and citrus peel attributes may be present.",1.028-1.044 (7.1-11 °Plato),1.004-1.006 (1-1.5 °Plato),2.20%-4.00% (2.80%-5.00%),3-6,2-4(4-8 EBC)
54,Leipzig-Style Gose,Straw to light amber,Clear to hazy. Haze may or may not be from yeast.,Malt sweetness and attributes are not present to very low,Not present,Not present to low,"Medium to high lactic acid character should be present and expressed as a sharp, refreshing sourness. These beers are not excessively aged.",Low to medium-low,"Specialty Saison represents a very wide family of beers which deviate substantially from Classic Saison in appearance and sensory outcomes. Such beers are brewed with dark malts, fruit(s), spice(s), or a wide range of ingredients. Ingredients including spices, herbs, ﬂowers, fruits, vegetables, fermentable sugars and carbohydrates, special yeasts of all types, wood-aging, etc. may contribute unique attributes to these beers. Earthy or cellar-like aromas are acceptable. Color, body, malt character, esters, alcohol level, and hop character should harmonize with attributes from special ingredients. Versions of Saison which exhibit sensory attributes typical of wood-aging are categorized as Specialty Saison. When using these guidelines as the basis for evaluating entries at competitions, brewers may be asked to provide supplemental information about entries in this category to allow for accurate evaluation of diverse entries. Such information might include the underlying beer style upon which the entry is based, or other information unique to the entry such as ingredients such as malts and grains, hop varieties, microflora, fruit, spices, or other ingredients, etc. or processing (wood-aging for example) which influence perceived sensory outcomes.",1.036-1.056 (9-13.8 °Plato),1.008-1.012 (2.1-3.1 °Plato),3.50%-4.30% (4.40%-5.40%),5-15,2-7(4-14 EBC)
55,Contemporary-Style Gose,Usually straw to medium amber and can take on the color of added fruits or other ingredients such as darker malts.,Clear to hazy. Haze may or may not result from yeast,Malt aroma and flavor is not present to very low,Very low to low,Not present to medium,"Horsey, leathery, or earthy aromas contributed by Brettanomyces yeasts may be present but at low levels as these beers do not undergo prolonged aging. Contemporary Gose may be fermented with pure beer yeast strains, or with yeast mixed with bacteria. Alternatively, they may be spontaneously fermented. Low to medium lactic acid character is present in all examples expressed as a sharp, refreshing sourness.",Low to medium-low,Earthy or cellar-like aromas are acceptable.,1.036-1.056 (9-13.8 °Plato),1.008-1.012 (2.1-3.1 °Plato),3.50%-4.30% (4.40%-5.40%),5-30,3-9(6-18 EBC)
56,South German-Style Hefeweizen,Straw to amber,"If served with yeast, appearance may be very cloudy.",Very low to medium-low,Not present to very low,Very low,"Medium-low to medium-high fruity and phenolic attributes are hallmarks of this style. Phenolic attributes such as clove, nutmeg, smoke, and vanilla are present. Banana ester aroma and ﬂavor should be present at low to medium-high levels. Diacetyl should not be present.",Medium to full,Oaky or woody flavors may be pleasantly integrated. Flavors of wine or distilled spirits associated with used barrels should not be present. Bottle conditioned versions are often a blend of old and young beer to create the brewer’s intended flavor balance.,1.047-1.056 (11.7-13.8 °Plato),1.008-1.016 (2.1-4.1 °Plato),3.90%-4.40% (4.90%-5.60%),10-15,3-9(6-18 EBC)
57,South German-Style Kristal Weizen,Straw to amber,"Clear with no chill haze present. Because the beer is ﬁltered, no yeast should be present.",Malt sweetness is very low to medium-low,Not present to very low,Very low,The aroma and flavor are very similar to Hefeweizen with the caveat that fruity and phenolic characters are not combined with the yeasty ﬂavor and fuller-bodied mouthfeel of yeast. The phenolic characteristics are often described as clove-like or nutmeg-like and can be smoky or even vanilla-like. A Banana-like ester aroma and flavor is often present. Diacetyl should not be present. Kristal Weizen is well attenuated and very highly carbonated.,Medium to full,"Lambics originating in the Brussels area of Belgium are often simply called Lambic. Versions of this beer style made outside of the Brussels area cannot be called true Lambics. These versions are said to be ‘Belgian-Style Lambic’ and may be made to resemble many of the beers of true origin. Historically, traditional Lambic is dry and completely attenuated, exhibiting no residual sweetness either from malt, sugar, or other sweeteners. Sweet versions may be created through the addition of sugars or other sweeteners. Traditionally, Lambics are brewed with unmalted wheat and malted barley.",1.047-1.056 (11.7-13.8 °Plato),1.008-1.016 (2.1-4.1 °Plato),3.90%-4.40% (4.90%-5.60%),10-15,3-9(6-18 EBC)
58,German-Style Leichtes Weizen,Straw to copper-amber,"If served with yeast, appearance may be very cloudy.",Very low to medium-low,Not present to very low,Very low,The phenolic and estery aromas typical of Weissbiers should be present but less pronounced in this style. The overall ﬂavor proﬁle is less complex than Hefeweizen due to a lower alcohol content and there is less yeasty ﬂavor. Diacetyl should not be present.,"Low with a lighter mouthfeel than Hefeweizen. The German word ‘leicht’ means light, and as such these beers are light versions of Hefeweizen.","Gueuze originating in the Brussels area of Belgium, are often simply called Gueuze. Versions of this beer style made outside of the Brussels area are said to be ‘Belgian-Style Gueuze’. The Belgian-style versions are made to resemble many of the beers of true origin. Historically, traditional Gueuze is dry and completely attenuated, exhibiting no residual sweetness either from malt, sugar, or other sweeteners. Traditionally, Gueuze is brewed with unmalted wheat, malted barley, and stale, aged hops.",1.028-1.044 (7.1-11 °Plato),1.004-1.008 (1-2.1 °Plato),2.00%-2.80% (2.50%-3.50%),10-15,3.5-15(7-30 EBC)
59,South German-Style Bernsteinfarbenes Weizen,Amber to light brown. The German word ‘Bernsteinfarben’ means amber colored.,"If served with yeast, appearance may be very cloudy.",Distinct sweet maltiness and caramel or bread-like character arises from the use of medium-colored malts.,Not present,Low,The phenolic and estery aromas and flavors typical of Weissbiers are present but less pronounced in Bernsteinfarbenes Weissbiers. These beers should be well attenuated and very highly carbonated. Diacetyl should not be present.,Medium to full,"Contemporary Belgian-Style Spontaneous Fermented Ales takes its inspiration from the Traditional Gueuze whose origin is the Brussels area of Belgium. But these beers incorporate specialty malts, spice(s), fruit(s), or many other diverse ingredients and processes that influence the hue, aroma and flavor outcomes of the finished beers such that they differ significantly from traditional examples. When using these guidelines as the basis for evaluating entries at competitions, brewers may be asked to provide supplemental information about entries in this category to allow for accurate evaluation of diverse entries. Such information might include the underlying beer style upon which the entry is based, or other information unique to the entry such as non-traditional malts, sweeteners, fruit(s), spice(s) or any other ingredients or processing which influence perceived sensory outcomes.",1.048-1.056 (11.9-13.8 °Plato),1.008-1.016 (2.1-4.1 °Plato),3.80%-4.30% (4.80%-5.40%),10-15,9-13(18-26 EBC)
60,South German-Style Dunkel Weizen,Copper-brown to very dark,"If served with yeast, appearance may be very cloudy",Distinct sweet maltiness and a chocolate-like character from dark or roasted malts exemplify beer in this style. Dark barley malts are frequently used along with dark Cara or color malts.,Not present,Low,The phenolic and estery aromas and flavors typical of Weissbiers are present but less pronounced in Dunkel Weissbiers. Dunkel Weissbiers should be well attenuated and very highly carbonated. Diacetyl should not be present,Medium to full,"These beers, also known by the names Framboise, Kriek, Peche, Cassis, etc., are characterized by fruit aromas and ﬂavors. Fruit Lambics, whose origin is the Brussels area of Belgium, are often simply called Fruit Lambic. Versions of this beer style made outside of the Brussels area are said to be ‘Belgian-Style Fruit Lambics’. The Belgian-style versions are made to resemble many of the beers of true origin. Historically, traditional Lambics are dry and completely attenuated, exhibiting no residual sweetness either from malt, sugar, fruit, or other sweeteners. Some versions often have a degree of sweetness contributed by fruit sugars, other sugars, or other sweeteners. See also Belgian-Style Lambic for additional background information. Vanillin and other wood-derived ﬂavors may range from absent to present at up to low-medium levels, and, if present, are in harmony with attribute arising from fruit. Competition organizers may create subcategories which reflect groups of entries based on color, fruit, or other ingredients. When using these guidelines as the basis for evaluating entries at competitions, brewers may be asked to provide supplemental information about entries in this category to allow for accurate evaluation of diverse entries. Such information might include the underlying lambic beer upon which the entry is based, or other information unique to the entry such as fruit ingredients or processing which influence perceived sensory outcomes.",1.048-1.056 (11.9-13.8 °Plato),1.008-1.016 (2.1-4.1 °Plato),3.80%-4.30% (4.80%-5.40%),10-15,10-25(20-50 EBC)
61,South German-Style Weizenbock,Gold to very dark,"If served with yeast, appearance may be very cloudy.","Medium malty sweetness should be present. If dark, a mild roast malt character should emerge in the flavor and, to a lesser degree, in the aroma.",Not present,Low,"Balanced, clove-like phenolic and fruity ester banana notes produce a well-rounded ﬂavor and aroma. Diacetyl should not be present. Carbonation should be high.",Medium to full,"Beers in this category recognize the uniqueness and traditions of Belgian brewing, but do not hew to any other Belgian-style categories defined elsewhere in these guidelines. Balance is a key component when assessing these beers. Wood and barrel-aged versions which exhibit sensory attributes of wood-aging are categorized here. Fruited versions are categorized as Belgian-style fruit beers.",1.066-1.08 (16.1-19.3 °Plato),1.016-1.028 (4.1-7.1 °Plato),5.50%-7.50% (7.00%-9.50%),15-35,4.5-30(9-60 EBC)
