Feature,value
Perceived Hop Aroma & Flavor,"Medium to very high, exhibiting a wide range of attributes."
Perceived Bitterness,High
Fermentation Characteristics,Complex alcohols are evident. Fruity esters are often high. Diacetyl is usually absent in these beers but may be present at very low levels.
Body,Full
Additional notes,"Vinous, sherry-like, or port-like attributes arising from oxidation may be considered positive when in harmony with overall flavor profile. Low carbonation may be acceptable in this style."
Original Gravity (°Plato),1.09-1.12 (21.6-28 °Plato)
Apparent Extract/Final Gravity (°Plato),1.024-1.028 (6.1-7.1 °Plato)
Alcohol by Weight (Volume),6.70%-9.60% (8.50%-12.20%)
Bitterness (IBU),60-100
Color SRM (EBC),11-18(22-36 EBC)
Category,American-Style Wheat Wine Ale
Color,Gold to black
Clarity,Chill haze is acceptable at low temperatures
Perceived Malt Aroma & Flavor,"Any of bready, wheat, honey or caramel malt aroma and flavor attributes are often present. High residual malt sweetness should be present."
Perceived Hop Aroma & Flavor,Low to medium
Perceived Bitterness,Medium to medium-high
Fermentation Characteristics,"Fruity esters are often high and balanced by a complexity of alcohols and high alcohol content. Diacetyl is usually absent in these beers but may be present at very low levels. Phenolic yeast character, sulfur, and DMS should not be present. Oxidized, stale, and aged attributes are not typical of this style."
Body,Full
Additional notes,This style is brewed with at least 50% wheat malt.
Original Gravity (°Plato),1.088-1.12 (21.1-28 °Plato)
Apparent Extract/Final Gravity (°Plato),1.024-1.032 (6.1-8 °Plato)
Alcohol by Weight (Volume),6.70%-9.60% (8.50%-12.20%)
Bitterness (IBU),45-85
Color SRM (EBC),5+(10+ EBC)
Category,Smoke Porter
Color,Dark brown to black
Clarity,Opaque
Perceived Malt Aroma & Flavor,"Smoked porters will exhibit mild to assertive smoke malt aroma and flavor in balance with other aroma attributes. Black malt character can be present in some porters, while others may be absent of strong roast character. Roast barley character is absent to low depending on underlying porter style being smoked. Medium to high malt sweetness with caramel or chocolate flavor attributes is acceptable."
Perceived Hop Aroma & Flavor,None to medium
Perceived Bitterness,Medium to medium-high
Fermentation Characteristics,Low to medium fruity esters are acceptable
Body,Medium to full
Additional notes,"When using these guidelines as the basis for evaluating entries at competitions, brewers may be asked to provide supplemental information about entries in this category to allow for accurate evaluation of diverse entries. Such information should include the traditional style of porter as well as the wood type used as a smoke source (e.g. ‘alder smoked brown porter’)."
Original Gravity (°Plato),Varies with porter style
Apparent Extract/Final Gravity (°Plato),Varies with porter style
Alcohol by Weight (Volume),Varies with porter style
Bitterness (IBU),Varies with porter style
Color SRM (EBC),Varies with porter style(Varies with porter style EBC)
Category,American-Style Sour Ale
Color,Pale to black
Clarity,"Chill haze, bacteria, and yeast-induced haze is acceptable at any temperature."
Perceived Malt Aroma & Flavor,"Low. In darker versions, any of roasted malt, caramel, or chocolate aroma and flavor attributes should be present at low levels."
Perceived Hop Aroma & Flavor,None to high
Perceived Bitterness,None to high
Fermentation Characteristics,"Moderate to intense, yet balanced, fruity esters are present. Diacetyl, DMS, and Brettanomyces should not be present. The evolution of natural acidity at medium-low to high levels develops a balanced complexity and is expressed as a refreshing, pleasant sourness, in harmony with other attributes. The acidity present is usually in the form of lactic, acetic, and other organic acids naturally developed with acidiﬁed malt in the mash or in kettle or post wort fermentation and is produced by various microorganisms including certain bacteria and yeasts. Acidic character can be a complex balance of several types of acid and attributes of age. Wood vessels may be used during the fermentation and aging process, but wood-derived ﬂavors such as vanillin should not be present. There should be no residual ﬂavors from liquids previously aged in a barrel such as bourbon or sherry."
Body,Low to high
Additional notes,"Beers exhibiting wood-derived characters or characters of liquids previously aged in wood are categorized as Wood-Aged Sour Beer. Fruited versions are categorized elsewhere. Competition organizers may create subcategories which reflect groups of entries based on color, hop varieties, microflora, spices, or other ingredients, etc. When using these guidelines as the basis for evaluating entries at competitions, brewers may be asked to provide supplemental information about entries in this category to allow for accurate evaluation of diverse entries. Such information might include the underlying beer style upon which the entry is based, or other information unique to the entry such as ingredients or processing which influence perceived sensory outcomes."
Original Gravity (°Plato),May vary widely
Apparent Extract/Final Gravity (°Plato),May vary widely
Alcohol by Weight (Volume),May vary widely
Bitterness (IBU),May vary widely
Color SRM (EBC),May vary widely(May vary widely EBC)
Category,American-Style Fruited Sour Ale
Color,Can range from pale to black depending on underlying beer style and is often influenced by the color of added fruit
Clarity,"Chill haze, bacteria, and yeast-induced haze is acceptable at any temperature."
Perceived Malt Aroma & Flavor,"Low. In darker versions, any of roasted malt, caramel, or chocolate aroma and flavor attributes should be present at low levels."
Perceived Hop Aroma & Flavor,None to high
Perceived Bitterness,None to high and in balance with fruit character
Fermentation Characteristics,"Moderate to intense, yet balanced, fruity esters are present. Diacetyl, DMS, and Brettanomyces should not be present. The evolution of natural acidity at medium-low to high levels develops a balanced complexity and is expressed as a refreshing, pleasant sourness, in harmony with other attributes. The acidity present is usually in the form of lactic, acetic, and other organic acids naturally developed with acidiﬁed malt in the mash or in kettle or post wort fermentation and is produced by various microorganisms, including certain bacteria and yeasts. Acidic character can be a complex balance of several types of acid and attributes of age. Wood vessels may be used during the fermentation and aging process, but wood-derived ﬂavors such as vanillin should not be present. Attributes arising from liquids previously aged in a barrel, such as bourbon or sherry, should not be present."
Body,Low to high
Additional notes,"Fruit aromas, ranging from subtle to intense, should be present. Fruit or fruit extracts, used as an adjunct in either the mash, kettle, primary or secondary fermentation, provide harmonious fruit character ranging from subtle to intense. Beers exhibiting wood-derived attributes or evidence of liquids previously aged in wood are categorized as Fruited Wood-Aged Sour Beer. Within the framework of these guidelines, coconut is deﬁned as a vegetable, and beers containing coconut are categorized as Field Beer. Likewise beers containing chili peppers are categorized as Chili Beer. Fruited versions of Berliner-Style Weisse and Belgian-Style Sour Ale are categorized elsewhere. Competition organizers may create subcategories which reflect groups of entries based on color, hop varieties, microflora, spices, or other ingredients, etc. When using these guidelines as the basis for evaluating entries at competitions, brewers may be asked to provide supplemental information about entries in this category to allow for accurate evaluation of diverse entries. Such information might include the underlying beer style upon which the entry is based, or other information unique to the entry such as ingredients or processing which influence perceived sensory outcomes."
Original Gravity (°Plato),May vary widely
Apparent Extract/Final Gravity (°Plato),May vary widely
Alcohol by Weight (Volume),May vary widely
Bitterness (IBU),May vary widely
Color SRM (EBC),May vary widely(May vary widely EBC)
Category,West Coast-Style India Pale Ale
Color,Straw to gold
Clarity,Chill haze or hop haze is acceptable at low levels
Perceived Malt Aroma & Flavor,Low to medium-low. Caramel or roasted malt character should not be present
Perceived Hop Aroma & Flavor,"High to very high, exhibiting a wide range of attributes including floral, piney, citrus, fruity (berry, tropical, stone fruit and other), sulfur, diesel-like, onion-garlic, catty, resinous and many others."
Perceived Bitterness,"Medium-high to very high, but not harsh"
Fermentation Characteristics,"Fruity esters range from low to medium. DMS, acetaldehyde, and diacetyl should not be present. These beers are characterized by a high degree of attenuation."
Body,Low to medium
Additional notes,"These beers are highly attenuated with an assertive hop character and a dry, crisp finish. While the West Coast India Pale Ale style has been around for some time, the style itself has progressed over time from original inception to modern day examples – this guideline serves to align directly with modern-day examples of the style."
Original Gravity (°Plato),1.055-1.07 (13.5-17.1 °Plato)
Apparent Extract/Final Gravity (°Plato),1.005-1.016 (1.5-4.1 °Plato)
Alcohol by Weight (Volume),5-6 (6.3-7.5)
Bitterness (IBU),50-75
Color SRM (EBC),2-6(4-12 EBC)
Category,German-Style Koelsch
Color,Straw to gold
Clarity,Chill haze should not be present
Perceived Malt Aroma & Flavor,Malt character is very low to low with soft sweetness. Caramel character should not be present.
Perceived Hop Aroma & Flavor,"Low and, if present, should express noble hop character."
Perceived Bitterness,Medium to medium-high
Fermentation Characteristics,"Fruity esters are absent to low, expressed as pear, apple, or wine-like attributes when present. Diacetyl should not be present."
Body,Low to medium-low. Dry and crisp.
Additional notes,"Traditional examples often display persistent head retention. Small amounts of wheat can be used in brewing beers of this style. Koelsch-style beers are fermented at warmer temperatures than is typical for lagers, but at lower temperatures than most English and Belgian-style ales. They are aged cold. Ale yeast is used for fermentation. Lager yeast is sometimes used for bottle conditioning or ﬁnal cold conditioning."
Original Gravity (°Plato),1.042-1.048 (10.5-11.9 °Plato)
Apparent Extract/Final Gravity (°Plato),1.006-1.01 (1.5-2.6 °Plato)
Alcohol by Weight (Volume),3.80%-4.20% (4.80%-5.30%)
Bitterness (IBU),22-30
Color SRM (EBC),3-6(6-12 EBC)
Category,German-Style Altbier
Color,Copper to dark brown
Clarity,Clear to slightly hazy. Chill haze should not be present
Perceived Malt Aroma & Flavor,A variety of malts contributes to medium-low to medium malt aroma and flavor. Toast aroma typical of Munich malts should be present. Slight nuttiness is acceptable. Roast malt character should be present at low levels and well-integrated with the overall malt profile. Smoke character should not be present.
Perceived Hop Aroma & Flavor,"Low to medium with hop flavor more perceptible than aroma, with attributes typical of traditional German noble hops."
Perceived Bitterness,"Medium to high, producing a clean dry finish. Forty-plus IBU is typical for Altbiers originating in Dusseldorf."
Fermentation Characteristics,"Fruity esters are absent to low, with attributes expressed subtly as citrus, pear, dark cherry or plum. A slight sulfur aroma is acceptable. Diacetyl should not be present."
Body,Medium-low to medium.
Additional notes,"The Altbier style is originally from the Dusseldorf area. The overall impression is clean, crisp and ﬂavorful with a dry ﬁnish."
Original Gravity (°Plato),1.044-1.052 (11-12.9 °Plato)
Apparent Extract/Final Gravity (°Plato),1.008-1.014 (2.1-3.6 °Plato)
Alcohol by Weight (Volume),3.60%-4.40% (4.60%-5.60%)
Bitterness (IBU),25-52
Color SRM (EBC),11-19(22-38 EBC)
Category,Berliner-Style Weisse
Color,Straw to pale. These are the lightest of all the German wheat beers.
Clarity,May appear hazy or cloudy from yeast or chill haze
Perceived Malt Aroma & Flavor,Malt sweetness is absent
Perceived Hop Aroma & Flavor,Not present
Perceived Bitterness,Not present to very low
Fermentation Characteristics,"Fruity esters are low to medium. Diacetyl should not be present. Brettanomyces character may be absent or present at low to medium levels and, if present, may be expressed as any of horsey, goaty, leathery, phenolic, fruity, or acidic aroma and flavor attributes. The unique combination of yeast and lactic acid bacteria fermentation yields a beer that is acidic and highly attenuated."
Body,Very low
Additional notes,"Carbonation is high. Traditionally, some Berliners were brewed or served with fruit, spices, or syrups. Some more contemporary versions have been brewed with other ingredients such as darker malts. Any such versions will take on corresponding hues, and may exhibit flavor and aroma attributes typical of such ingredients. When using these guidelines as the basis for evaluating entries at competitions, brewers may be asked to provide supplemental information about entries in this category to allow for accurate evaluation of diverse entries. Competition organizers may create subcategories which reflect groups of entries based on the addition of fruit, spice or specialty malt, or other ingredients or processes. Fruited or ﬂavored entries would be accompanied by a very brief description of the fruit/ﬂavor used by the brewer."
Original Gravity (°Plato),1.028-1.044 (7.1-11 °Plato)
Apparent Extract/Final Gravity (°Plato),1.004-1.006 (1-1.5 °Plato)
Alcohol by Weight (Volume),2.20%-4.00% (2.80%-5.00%)
Bitterness (IBU),3-6
Color SRM (EBC),2-4(4-8 EBC)
Category,Leipzig-Style Gose
Color,Straw to light amber
Clarity,Clear to hazy. Haze may or may not be from yeast.
Perceived Malt Aroma & Flavor,Malt sweetness and attributes are not present to very low
Perceived Hop Aroma & Flavor,Not present
Perceived Bitterness,Not present to low
Fermentation Characteristics,"Medium to high lactic acid character should be present and expressed as a sharp, refreshing sourness. These beers are not excessively aged."
Body,Low to medium-low
Additional notes,"These beers typically contain malted barley and unmalted wheat, with some versions also containing oats. Salt (table salt) and coriander may be present in low amounts or may be absent. A Gose brewed with fruit(s), spices (other than salt or coriander), darker malts or other ingredients is categorized as Contemporary-Style Gose. Carbonation is high to very high. Effervescent. When using these guidelines as the basis for evaluating entries at competitions, brewers may be asked to provide supplemental information about entries in this category to allow for accurate evaluation of diverse entries. Such information might include whether coriander, salt, or Brettanomyces is used, and other information about the brewing process."
Original Gravity (°Plato),1.036-1.056 (9-13.8 °Plato)
Apparent Extract/Final Gravity (°Plato),1.008-1.012 (2.1-3.1 °Plato)
Alcohol by Weight (Volume),3.50%-4.30% (4.40%-5.40%)
Bitterness (IBU),5-15
Color SRM (EBC),2-7(4-14 EBC)
Category,Contemporary-Style Gose
Color,Usually straw to medium amber and can take on the color of added fruits or other ingredients such as darker malts.
Clarity,Clear to hazy. Haze may or may not result from yeast
Perceived Malt Aroma & Flavor,Malt aroma and flavor is not present to very low
Perceived Hop Aroma & Flavor,Very low to low
Perceived Bitterness,Not present to medium
Fermentation Characteristics,"Horsey, leathery, or earthy aromas contributed by Brettanomyces yeasts may be present but at low levels as these beers do not undergo prolonged aging. Contemporary Gose may be fermented with pure beer yeast strains, or with yeast mixed with bacteria. Alternatively, they may be spontaneously fermented. Low to medium lactic acid character is present in all examples expressed as a sharp, refreshing sourness."
Body,Low to medium-low
Additional notes,"Contemporary-Style Gose may be brewed with malted or unmalted barley, wheat, and oats. Contemporary examples may also contain other grains. As in traditional examples, low level salt (table salt) and coriander additions may or may not be present in Contemporary Gose. Attributes from the use of a wide variety of herbs, spices, ﬂowers, fruits, or other ingredients not found in traditional Leipzig-Style Gose may also be present and in harmony with overall flavor profile. When using these guidelines as the basis for evaluating entries at competitions, brewers may be asked to provide supplemental information about entries in this category to allow for accurate evaluation of diverse entries. Such information might include any herbs, spices, fruit, or other added ingredients, and information about the brewing process."
Original Gravity (°Plato),1.036-1.056 (9-13.8 °Plato)
Apparent Extract/Final Gravity (°Plato),1.008-1.012 (2.1-3.1 °Plato)
Alcohol by Weight (Volume),3.50%-4.30% (4.40%-5.40%)
Bitterness (IBU),5-30
Color SRM (EBC),3-9(6-18 EBC)
Category,South German-Style Hefeweizen
Color,Straw to amber
Clarity,"If served with yeast, appearance may be very cloudy."
Perceived Malt Aroma & Flavor,Very low to medium-low
Perceived Hop Aroma & Flavor,Not present to very low
Perceived Bitterness,Very low
Fermentation Characteristics,"Medium-low to medium-high fruity and phenolic attributes are hallmarks of this style. Phenolic attributes such as clove, nutmeg, smoke, and vanilla are present. Banana ester aroma and ﬂavor should be present at low to medium-high levels. Diacetyl should not be present."
Body,Medium to full
Additional notes,"Beers in this style are made with at least 50 percent malted wheat, and are very highly carbonated. These beers are typically (though not always) roused during pouring, and when yeast is present, they will have a yeasty ﬂavor and a characteristically fuller mouthfeel."
Original Gravity (°Plato),1.047-1.056 (11.7-13.8 °Plato)
Apparent Extract/Final Gravity (°Plato),1.008-1.016 (2.1-4.1 °Plato)
Alcohol by Weight (Volume),3.90%-4.40% (4.90%-5.60%)
Bitterness (IBU),10-15
Color SRM (EBC),3-9(6-18 EBC)
Category,South German-Style Kristal Weizen
Color,Straw to amber
Clarity,"Clear with no chill haze present. Because the beer is ﬁltered, no yeast should be present."
Perceived Malt Aroma & Flavor,Malt sweetness is very low to medium-low
Perceived Hop Aroma & Flavor,Not present to very low
Perceived Bitterness,Very low
Fermentation Characteristics,The aroma and flavor are very similar to Hefeweizen with the caveat that fruity and phenolic characters are not combined with the yeasty ﬂavor and fuller-bodied mouthfeel of yeast. The phenolic characteristics are often described as clove-like or nutmeg-like and can be smoky or even vanilla-like. A Banana-like ester aroma and flavor is often present. Diacetyl should not be present. Kristal Weizen is well attenuated and very highly carbonated.
Body,Medium to full
Additional notes,"Beers in this style are made with at least 50 percent malted wheat. They have no yeast ﬂavor, and exhibit a cleaner, drier mouthfeel than counterparts served with yeast."
Original Gravity (°Plato),1.047-1.056 (11.7-13.8 °Plato)
Apparent Extract/Final Gravity (°Plato),1.008-1.016 (2.1-4.1 °Plato)
Alcohol by Weight (Volume),3.90%-4.40% (4.90%-5.60%)
Bitterness (IBU),10-15
Color SRM (EBC),3-9(6-18 EBC)
Category,German-Style Leichtes Weizen
Color,Straw to copper-amber
Clarity,"If served with yeast, appearance may be very cloudy."
Perceived Malt Aroma & Flavor,Very low to medium-low
Perceived Hop Aroma & Flavor,Not present to very low
Perceived Bitterness,Very low
Fermentation Characteristics,The phenolic and estery aromas typical of Weissbiers should be present but less pronounced in this style. The overall ﬂavor proﬁle is less complex than Hefeweizen due to a lower alcohol content and there is less yeasty ﬂavor. Diacetyl should not be present.
Body,"Low with a lighter mouthfeel than Hefeweizen. The German word ‘leicht’ means light, and as such these beers are light versions of Hefeweizen."
Additional notes,"Beers in this style are made with at least 50 percent wheat malt. They are often roused during pouring, and, when yeast is present, will have a yeasty ﬂavor and a fuller mouthfeel."
Original Gravity (°Plato),1.028-1.044 (7.1-11 °Plato)
Apparent Extract/Final Gravity (°Plato),1.004-1.008 (1-2.1 °Plato)
Alcohol by Weight (Volume),2.00%-2.80% (2.50%-3.50%)
Bitterness (IBU),10-15
Color SRM (EBC),3.5-15(7-30 EBC)
Category,South German-Style Bernsteinfarbenes Weizen
Color,Amber to light brown. The German word ‘Bernsteinfarben’ means amber colored.
Clarity,"If served with yeast, appearance may be very cloudy."
Perceived Malt Aroma & Flavor,Distinct sweet maltiness and caramel or bread-like character arises from the use of medium-colored malts.
Perceived Hop Aroma & Flavor,Not present
Perceived Bitterness,Low
Fermentation Characteristics,The phenolic and estery aromas and flavors typical of Weissbiers are present but less pronounced in Bernsteinfarbenes Weissbiers. These beers should be well attenuated and very highly carbonated. Diacetyl should not be present.
Body,Medium to full
Additional notes,"Beers in this style are made with at least 50 percent wheat malt. It is often roused during pouring, and, when yeast is present, will have a yeasty ﬂavor and a fuller mouthfeel."
Original Gravity (°Plato),1.048-1.056 (11.9-13.8 °Plato)
Apparent Extract/Final Gravity (°Plato),1.008-1.016 (2.1-4.1 °Plato)
Alcohol by Weight (Volume),3.80%-4.30% (4.80%-5.40%)
Bitterness (IBU),10-15
Color SRM (EBC),9-13(18-26 EBC)
Category,South German-Style Dunkel Weizen
Color,Copper-brown to very dark
Clarity,"If served with yeast, appearance may be very cloudy"
Perceived Malt Aroma & Flavor,Distinct sweet maltiness and a chocolate-like character from dark or roasted malts exemplify beer in this style. Dark barley malts are frequently used along with dark Cara or color malts.
Perceived Hop Aroma & Flavor,Not present
Perceived Bitterness,Low
Fermentation Characteristics,The phenolic and estery aromas and flavors typical of Weissbiers are present but less pronounced in Dunkel Weissbiers. Dunkel Weissbiers should be well attenuated and very highly carbonated. Diacetyl should not be present
Body,Medium to full
Additional notes,"Beers in this style are made with at least 50 percent wheat malt. They are often roused during pouring, and, when yeast is present, will have a yeasty ﬂavor and a characteristically fuller mouthfeel."
Original Gravity (°Plato),1.048-1.056 (11.9-13.8 °Plato)
Apparent Extract/Final Gravity (°Plato),1.008-1.016 (2.1-4.1 °Plato)
Alcohol by Weight (Volume),3.80%-4.30% (4.80%-5.40%)
Bitterness (IBU),10-15
Color SRM (EBC),10-25(20-50 EBC)
Category,South German-Style Weizenbock
Color,Gold to very dark
Clarity,"If served with yeast, appearance may be very cloudy."
Perceived Malt Aroma & Flavor,"Medium malty sweetness should be present. If dark, a mild roast malt character should emerge in the flavor and, to a lesser degree, in the aroma."
Perceived Hop Aroma & Flavor,Not present
Perceived Bitterness,Low
Fermentation Characteristics,"Balanced, clove-like phenolic and fruity ester banana notes produce a well-rounded ﬂavor and aroma. Diacetyl should not be present. Carbonation should be high."
Body,Medium to full
Additional notes,"Beers in this style are made with at least 50 percent wheat malt. They are often roused during pouring, and, when yeast is present, will have a yeasty ﬂavor and a fuller mouthfeel."
Original Gravity (°Plato),1.066-1.08 (16.1-19.3 °Plato)
Apparent Extract/Final Gravity (°Plato),1.016-1.028 (4.1-7.1 °Plato)
Alcohol by Weight (Volume),5.50%-7.50% (7.00%-9.50%)
Bitterness (IBU),15-35
Color SRM (EBC),4.5-30(9-60 EBC)
Category,German-Style Rye Ale
Color,"Pale to very dark, with darker versions ranging from dark amber to dark brown."
Clarity,"Chill haze is acceptable in versions packaged and served without yeast. In versions served with yeast, appearance may range from hazy to very cloudy."
Perceived Malt Aroma & Flavor,"In darker versions, malt aromas and flavors can optionally include low level roasted malt characters expressed as cocoa-chocolate, caramel, toffee, or biscuit attributes. Malt sweetness can vary from low to medium. Low level of roast malt astringency is acceptable when balanced with low to medium malt sweetness."
Perceived Hop Aroma & Flavor,Not present
Perceived Bitterness,Very low to low
Fermentation Characteristics,"Low to medium banana–like or other fruity ester aromas and flavors are typical. Clove-like or other phenolic aromas and flavors should also be present. No yeast aroma should be present in versions without yeast. Versions packaged and served without yeast will not have yeast ﬂavor or full mouthfeel typical of beers with yeast. Versions with yeast will have low to medium yeast aroma and ﬂavor and a full mouthfeel, but the yeast character should not overpower the balance of rye and barley malts, esters, and phenolics."
Body,Low to medium
Additional notes,"Grist should include at least 30 percent rye malt. Versions with yeast are often roused during pouring. When yeast is present, the beer should have a yeasty flavor and a fuller mouthfeel."
Original Gravity (°Plato),1.047-1.056 (11.7-13.8 °Plato)
Apparent Extract/Final Gravity (°Plato),1.008-1.016 (2.1-4.1 °Plato)
Alcohol by Weight (Volume),3.90%-4.40% (4.90%-5.60%)
Bitterness (IBU),10-15
Color SRM (EBC),4-25(8-50 EBC)
Category,Bamberg-Style Weiss Rauchbier
Color,Pale to chestnut brown
Clarity,"If served with yeast, appearance may be very cloudy."
Perceived Malt Aroma & Flavor,"In darker versions, a detectable degree of roast malt may be present without being aggressive. Smoky malt aroma and ﬂavor, ranging from low to high, should be present. Smoke character should be smooth, not harshly phenolic, suggesting a mild sweetness."
Perceived Hop Aroma & Flavor,Not present
Perceived Bitterness,Low
Fermentation Characteristics,"The aroma and flavor of a Weiss Rauchbier with yeast should be fruity and phenolic. The phenolic characteristics are often described as clove, nutmeg, vanilla, and smoke. Banana esters are often present at low to medium-high levels. No diacetyl should be perceived. Weissbiers are well attenuated and very highly carbonated."
Body,Medium to full
Additional notes,"Beers in this style are made with at least 50 percent wheat malt. They are often roused during pouring, and, when yeast is present, will have a yeasty ﬂavor and a fuller mouthfeel."
Original Gravity (°Plato),1.047-1.056 (11.7-13.8 °Plato)
Apparent Extract/Final Gravity (°Plato),1.008-1.016 (2.1-4.1 °Plato)
Alcohol by Weight (Volume),3.90%-4.40% (4.90%-5.60%)
Bitterness (IBU),10-15
Color SRM (EBC),4-18(8-36 EBC)
Category,Kellerbier or Zwickelbier
Color,Varies depending on the underlying European origin lager or ale style
Clarity,"Typically slightly hazy to moderately cloudy, but may become clear through settling. A small amount of yeast haze is acceptable and traditional."
Perceived Malt Aroma & Flavor,Varies depending on the underlying style
Perceived Hop Aroma & Flavor,Varies depending on underlying style. Low level attributes typical of late or dry hopping may be present in some versions.
Perceived Bitterness,Varies depending on underlying style
Fermentation Characteristics,"Low levels of sulfur and acetaldehyde or other volatiles normally scrubbed during fermentation, if present, can enhance the flavor of these beers. Low fruity esters may be present and may vary slightly from the underlying style due to age and the presence of yeast. Diacetyl is usually absent in these beers but may be present at low levels in keller versions of beer styles which can contain diacetyl when fully aged, such as Bohemian-Style Lager."
Body,Varies depending on underlying style
Additional notes,"Kellerbier or Zwickelbiers are unfiltered versions of lager or ale styles of European origin. These can include traditional Helles, Dunkel, Dortmunder, Vienna, Rotbier, Bohemian, European Dark, Koelsch, Alt, as well as less common traditional or contemporary European-origin lager and ale styles. Carbonation may be below levels typical of the underlying beer style, which may result in decreased head retention. These beers are typically unfiltered, but they may be filtered and then redosed with yeast. Whether filtered or unfiltered these beers are packaged and served with very low to moderate amounts of yeast. When using these guidelines as the basis for evaluating entries at competitions, brewers may be asked to provide supplemental information about entries in this category to allow for accurate evaluation of diverse entries. Such information should include the underlying European-origin lager or ale style upon which the entry is based. Competition organizers may create subcategories which reflect groups of entries based on ale or lager yeast type or hue."
Original Gravity (°Plato),Varies with style
Apparent Extract/Final Gravity (°Plato),Varies with style
Alcohol by Weight (Volume),Varies with style
Bitterness (IBU),Varies with style
Color SRM (EBC),Varies with style
Category,Belgian-Style Table Beer
Color,Gold to black. Caramel color is sometimes added to adjust color.
Clarity,"Beer color may be too dark to perceive. When clarity is perceivable, chill haze is acceptable at low temperatures."
Perceived Malt Aroma & Flavor,Mild malt character may be present
Perceived Hop Aroma & Flavor,Not present to very low
Perceived Bitterness,Very low to low
Fermentation Characteristics,Diacetyl should not be present. Traditional versions do not use artiﬁcial sweeteners nor are they excessively sweet. More modern versions can incorporate sweeteners such as sugar and saccharin added post fermentation for additional sweetness and to increase smoothness.
Body,Low
Additional notes,"These beers may contain malted barley, wheat, and rye as well as unmalted wheat, rye, oats, and corn. Though not common, flavorings such as coriander or orange and lemon peel are sometimes added, but are barely perceptible. The mouthfeel is light to moderate, and sometimes boosted with unfermented sugars/malt sugars. Low carbonation and aftertaste are typical."
Original Gravity (°Plato),1.008-1.023 (2.1-5.8 °Plato)
Apparent Extract/Final Gravity (°Plato),1.002-1.008 (0.5-2.1 °Plato)
Alcohol by Weight (Volume),0.40%-1.60% (0.50%-2.00%)
Bitterness (IBU),5-15
Color SRM (EBC),5-50(10-100 EBC)
Category,Belgian-Style Session Ale
Color,May vary widely
Clarity,Chill haze is acceptable at low temperatures
Perceived Malt Aroma & Flavor,"Very low to low, exhibiting a wide range of malt-derived attributes"
Perceived Hop Aroma & Flavor,"Very low to low, exhibiting a wide range of hop-derived attributes"
Perceived Bitterness,Very low to low but sufficient to balance other attributes
Fermentation Characteristics,"Phenolic spiciness may be absent or may be present at low levels. Fruity-ester complexity may range from low to medium, in harmony with malt and other attributes. Diacetyl should not be present."
Body,Very low to low
Additional notes,"Beers in this category recognize the uniqueness and traditions of Belgian brewing, but do not hew to any other Belgian-style categories defined in these guidelines. The most notable characteristic that these beers share is a modest alcohol content ranging from 2.1% – 5% abv. These beers can be lower gravity formulations of their own, or can be produced from second run wort from the production of higher gravity beers. Balance is a key component when assessing these beers. Wood-aged or fruited versions will exhibit attributes of wood-aging or fruit(s) in harmony with overall flavor profile. When using these guidelines as the basis for evaluating entries at competitions, brewers may be asked to provide supplemental information about entries in this category to allow for accurate evaluation of diverse entries. Such information might include an underlying Belgian beer style not otherwise defined in these guidelines or other information unique to the entry such as ingredients (fruit(s), etc.) or processing (wood-aging, etc.) which influence perceived sensory outcomes."
Original Gravity (°Plato),1.018-1.04 (4.5-10 °Plato)
Apparent Extract/Final Gravity (°Plato),1.002-1.01 (0.5-2.6 °Plato)
Alcohol by Weight (Volume),1.70%-4.00% (2.10%-5.00%)
Bitterness (IBU),5-35
Color SRM (EBC),May vary widely
Category,Belgian-Style Speciale Belge
Color,Gold to light copper
Clarity,Chill haze is acceptable at low temperatures
Perceived Malt Aroma & Flavor,Malt aroma should be low. Caramel or toasted malt attributes are acceptable.
Perceived Hop Aroma & Flavor,Very low to medium. Noble-type hops are commonly used.
Perceived Bitterness,Low to medium
Fermentation Characteristics,Low to medium fruity esters are present. Yeast-derived phenolic spicy ﬂavors and aromas should be present at low to medium-low levels. Diacetyl should not be present.
Body,Low to medium
Original Gravity (°Plato),1.04-1.054 (10-13.3 °Plato)
Apparent Extract/Final Gravity (°Plato),1.008-1.014 (2.1-3.6 °Plato)
Alcohol by Weight (Volume),4.10%-5.00% (5.10%-6.30%)
Bitterness (IBU),20-30
Color SRM (EBC),4-12(8-24 EBC)
Category,Belgian-Style Blonde Ale
Color,Straw to light amber
Clarity,Chill haze is acceptable at low temperatures
Perceived Malt Aroma & Flavor,Very low to low
Perceived Hop Aroma & Flavor,Very low to medium. Noble-type hops are commonly used.
Perceived Bitterness,Very low to medium-low
Fermentation Characteristics,Low to medium fruity esters are balanced with low level malt attributes. Low level yeast-derived phenolic spiciness may be present. Diacetyl and acidic character should not be present.
Body,Low to medium
Original Gravity (°Plato),1.054-1.068 (13.3-16.6 °Plato)
Apparent Extract/Final Gravity (°Plato),1.01-1.014 (2.6-3.6 °Plato)
Alcohol by Weight (Volume),5.00%-6.20% (6.30%-7.90%)
Bitterness (IBU),15-40
Color SRM (EBC),2-7(4-14 EBC)
Category,Belgian-Style Strong Blonde Ale
Color,Straw to light amber
Clarity,Chill haze is acceptable at low temperatures
Perceived Malt Aroma & Flavor,Malt character is low to medium. A complex fruitiness is often present.
Perceived Hop Aroma & Flavor,Medium-low to medium-high
